RowNumber,CustomerId,CreditScore,Geography,Age,FeesCharges,NumOfApplications,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,15634602,588,France,42,27740.73,1,1,1,101348.88,1
2,15619304,359,France,42,34108.96,3,1,0,113931.57,1
3,15701354,701,France,39,95.44,2,1,0,93826.63,0
4,15574012,554,Spain,44,40364.28,2,1,1,149756.71,1
5,15592531,829,France,50,206.49,2,0,1,10062.8,0
6,15656148,350,Germany,29,15046.05,4,0,0,119346.88,1
7,15792365,555,France,44,5892.72,2,1,0,74940.5,0
8,15592389,719,France,27,9893.15,1,0,1,71725.73,0
9,15767821,610,France,31,10220.95,2,0,1,80181.12,0
10,15737173,591,Spain,24,1786.38,2,0,0,76390.01,0
11,15632264,500,France,34,1548.67,2,1,0,26260.98,0
12,15691483,554,France,25,26831.53,2,1,0,190857.79,0
13,15600882,670,Spain,35,2848.34,2,1,1,65951.65,0
14,15643966,667,Germany,45,6710.8,2,1,0,64327.26,0
15,15737452,525,Germany,58,1515.41,1,1,1,5097.67,1
16,15788218,577,Spain,24,803.4,2,1,0,14406.41,0
17,15661507,633,Spain,45,5179.85,1,1,0,158684.81,0
18,15568982,733,France,24,3330.97,2,1,0,54724.03,0
19,15577657,746,France,41,24661.67,2,1,0,170886.17,0
20,15597945,678,Spain,32,5165.75,2,0,1,138555.46,0
21,15699309,447,Germany,38,6112.45,1,0,0,118913.53,1
22,15698028,567,France,41,2805.54,2,0,0,31766.3,0
23,15738191,641,France,25,11670.08,2,0,1,124508.29,0
24,15736816,773,Germany,36,18444.31,1,1,0,170041.95,0
25,15700772,629,France,44,3106.62,2,1,0,38433.35,0
26,15728693,596,Germany,43,0,1,0,1,100187.43,0
27,15656300,467,France,29,747.98,2,0,1,53483.21,0
28,15589475,448,Spain,39,19133.8,3,0,0,140469.38,1
29,15706552,616,France,36,15619.73,1,0,1,156731.91,0
30,15750181,578,Germany,41,5589.19,2,0,0,81898.81,0
31,15659428,585,Spain,42,3006.14,2,0,1,34410.55,0
32,15732963,744,Spain,29,7175.17,2,1,1,142033.07,0
33,15794171,472,France,45,840.77,1,1,1,27822.99,1
34,15788448,570,Spain,31,16433.9,1,1,1,114066.77,0
35,15729599,806,Spain,33,13031.18,1,1,1,98453.45,0
36,15585768,644,Germany,41,5689.36,2,0,1,178074.04,0
37,15619360,498,Spain,40,0,1,0,1,70154.22,0
38,15738148,405,France,51,11709.8,1,1,1,181297.65,1
39,15687946,573,France,61,8339.57,1,1,0,94153.83,0
40,15755196,809,France,49,8935.4,1,1,0,194365.76,1
41,15754849,780,Germany,32,8714.47,2,1,0,126517.46,0
42,15602280,802,Germany,27,27068.8,1,1,1,119708.21,1
43,15771573,584,Germany,39,21914.03,1,1,1,117622.8,1
44,15766205,592,Germany,38,2906.92,1,0,1,90878.13,0
45,15771873,797,Germany,37,14054.09,2,1,0,194099.12,0
46,15616550,725,Germany,44,5409.47,2,0,1,198059.16,0
47,15768193,638,Germany,36,3659.73,2,0,1,86424.57,0
48,15683553,800,France,33,16042.42,2,1,0,116978.19,0
49,15702298,647,Germany,41,37128.37,1,0,0,164040.94,1
50,15569590,507,Germany,42,8005.15,1,1,1,40014.76,1
51,15647091,744,Germany,19,0,1,1,0,45613.75,0
52,15623944,471,Spain,66,427.39,1,1,0,1643.11,1
53,15651280,758,Germany,35,9821.57,1,0,1,84509.57,0
54,15773469,695,Germany,27,9429.02,2,0,1,126494.82,0
55,15702014,637,Spain,33,11590.06,2,1,0,178798.13,0
56,15592461,634,Germany,26,10991.74,1,1,0,92840.67,0
57,15789484,773,Germany,36,2591.86,2,0,1,27758.36,0
58,15696061,659,Germany,34,16978.1,1,1,0,110431.51,0
59,15641582,767,Germany,43,24113.53,2,0,1,196673.28,0
60,15638424,661,Germany,35,24998.7,2,0,1,113656.85,0
61,15755648,689,France,21,2601.62,1,1,0,18203,0
62,15703793,614,Germany,58,2422.86,4,0,0,28373.86,1
63,15620344,813,France,29,0,1,0,1,33953.87,0
64,15779052,655,Germany,25,9541.91,2,0,1,58426.81,0
65,15770811,590,France,36,11534.85,2,1,0,145562.4,0
66,15780961,736,France,21,1856.99,2,0,1,22388,0
67,15614049,708,France,55,10516.94,2,0,1,139161.64,0
68,15662085,701,France,32,19219.35,1,1,0,148210.64,0
69,15575185,766,Spain,33,19100.58,1,0,1,194239.63,0
70,15803136,544,Germany,41,13504.73,2,0,1,98301.61,0
71,15663706,643,Germany,32,44893.39,1,1,1,136458.19,1
72,15641732,569,France,36,1767.62,2,1,0,26019.59,0
73,15701164,604,France,34,8247.92,1,0,1,159235.29,0
74,15738751,544,France,46,154.22,2,0,1,1907.66,0
75,15805254,674,Spain,75,13427.91,2,1,0,114675.75,0
76,15762418,646,Germany,22,15665.7,1,1,0,128643.35,1
77,15625759,750,France,30,26034.7,2,0,0,151869.35,0
78,15622897,589,France,46,14876.94,3,1,1,93251.42,1
79,15767954,660,Germany,28,20578.43,2,1,1,156791.36,0
80,15757535,517,Spain,44,11040.89,3,1,1,174205.22,1
81,15731511,808,France,45,0,2,1,0,147132.46,0
82,15809248,557,France,36,13145.02,2,1,0,109614.57,0
83,15640635,776,France,29,15598.47,2,1,0,172290.61,0
84,15676966,753,Spain,42,5008.12,2,1,0,85982.47,0
85,15699461,599,Spain,35,10904.72,1,0,1,121277.78,0
86,15693683,817,Germany,29,11155.63,2,0,1,197276.13,0
87,15604348,726,Spain,22,5156.27,2,0,1,99645.04,0
88,15633059,507,France,34,706.48,2,0,1,6534.18,0
89,15743192,630,France,44,2789.83,2,0,1,167162.43,0
90,15580146,739,France,31,5886.4,1,1,0,41970.72,0
91,15776605,537,Spain,36,2938.28,2,0,1,60536.56,0
92,15804919,529,Spain,65,8201.52,1,0,1,177655.68,1
